title,ingredients,instructions,url
Turkey Bánh mì Homemade,Mint; Carrots; Chicken Liver; Rice Vinegar; Red Chilli; Ground Ginger; Baguette; Red Cabbage; Golden Caster Sugar; Mayonnaise; Cucumber; Turkey,"step 1
To make the pickled slaw, tip the carrots and cabbage into a large bowl.
 In a small bowl, combine the ginger, rice vinegar, sugar and a few pinches of salt.
 Pour over the vegetables and toss together.
 Set aside for at least 15 mins.


step 2
Halve the baguettes lengthways and spread the pâté over the bottom half.
 Top with the pickled slaw, cucumber and turkey.
 Mix the mayonnaise with the chopped chilli and dollop over the top.
 Scatter over the mint leaves and sliced chilli.
 Sandwich together and dig in.
",https://www.bbcgoodfood.com/recipes/turkey-banh-mi
Easy Jerk chicken with rice & peas,Garlic; Red Chilli; Thyme; Allspice; Allspice; Soy Sauce; Vegetable Oil; Kidney Beans; Spring Onions; Brown Sugar; Lime; Chicken Thighs; Ginger; Onion; Lime; Coconut Milk; Spring Onions; Basmati Rice; Garlic; Thyme,"To make the jerk marinade, combine all the ingredients in a food processor along with 1 tsp salt, and blend to a purée.
 If you’re having trouble getting it to blend, just keep turning off the blender, stirring the mixture, and trying again.
 Eventually it will start to blend up – don’t be tempted to add water, as you want a thick paste.


Taste the jerk mixture for seasoning – it should taste pretty salty, but not unpleasantly, puckering salty.
 You can now throw in more chillies if it’s not spicy enough for you.
 If it tastes too salty and sour, try adding in a bit more brown sugar until the mixture tastes well balanced.


Make a few slashes in the chicken thighs and pour the marinade over the meat, rubbing it into all the crevices.
 Cover and leave to marinate overnight in the fridge.


If you want to barbecue your chicken, get the coals burning 1 hr or so before you’re ready to cook.
 Authentic jerked meats are not exactly grilled as we think of grilling, but sort of smoke-grilled.
 To get a more authentic jerk experience, add some wood chips to your barbecue, and cook your chicken over slow, indirect heat for 30 mins.
 To cook in the oven, heat to 180C/160C fan/gas 4.
 Put the chicken pieces in a roasting tin with the lime halves and cook for 45 mins until tender and cooked through.


While the chicken is cooking, prepare the rice & peas.
 Rinse the rice in plenty of cold water, then tip it into a large saucepan with all the remaining ingredients except the kidney beans.
 Season with salt, add 300ml cold water and set over a high heat.
 Once the rice begins to boil, turn it down to a medium heat, cover and cook for 10 mins.


Add the beans to the rice, then cover with a lid.
 Leave off the heat for 5 mins until all the liquid is absorbed.
 Squeeze the roasted lime over the chicken and serve with the rice & peas, and some hot sauce if you like it really spicy.
",https://www.bbcgoodfood.com/recipes/2369635/jerk-chicken-with-rice-and-peas
Easy Vietnamese prawn spiralized rolls,Mint; Carrots; Coriander; Birds-eye Chillies; Courgettes; Lime; Rice Vinegar; King Prawns; Fish Sauce; Rice Paper Sheets; Palm Sugar,"step 1
Mix all the ingredients for the dipping sauce along with 50ml water in a bowl and set aside to allow the sugar to dissolve and flavour to infuse.

step 2
To assemble the rolls, fill a wide bowl with warm water and grab a clean damp tea towel to work on. Dip a rice paper wrapper into the water for a few seconds until it softens then carefully place onto the tea towel.

step 3
Put a few mint and coriander leaves in the centre of the wrapper then top with two prawns and a small handful of the spiralized veg, which may need to be cut up if the spirals are too long.

step 4
Fold the sides of the wrapper into the centre, over the filling, then fold in the edges, so that the filling is completely encased, then tightly roll. Repeat until all of the wrappers and filling have been used. To serve, slice on a diagonal and eat with the dipping sauce.",https://www.bbcgoodfood.com/recipes/vietnamese-prawn-spiralized-rolls
Boxty Breakfast Style,Vegetable Oil; Potatoes; Spring Onions; Plain Flour; Bicarbonate Of Soda; Cherry Tomatoes; Egg; Egg White; Bacon; Milk; Butter,"STEP 1
Before you start, put your oven on its lowest setting, ready to keep things warm.
 Peel the potatoes, grate 2 of them, then set aside.
 Cut the other 2 into large chunks, then boil for 10-15 mins or until tender.
 Meanwhile, squeeze as much of the liquid from the grated potatoes as you can using a clean tea towel.
 Mash the boiled potatoes, then mix with the grated potato, spring onions and flour.


STEP 2
Whisk the egg white in a large bowl until it holds soft peaks.
 Fold in the buttermilk, then add the bicarbonate of soda.
 Fold into the potato mix.


STEP 3
Heat a large non-stick frying pan over a medium heat, then add 1 tbsp butter and some of the oil.
 Drop 3-4 spoonfuls of the potato mixture into the pan, then gently cook for 3-5 mins on each side until golden and crusty.
 Keep warm on a plate in the oven while you cook the next batch, adding more butter and oil to the pan before you do so.
 You will get 16 crumpet-size boxty from the mix.
 Can be made the day ahead, drained on kitchen paper, then reheated in a low oven for 20 mins.


STEP 4
Heat the grill to medium and put the tomatoes in a heavy-based pan.
 Add a good knob of butter and a little oil, then fry for about 5 mins until softened.
 Grill the bacon, then pile onto a plate and keep warm.
 Stack up the boxty, bacon and egg, and serve the tomatoes on the side.
",https://www.bbcgoodfood.com/recipes/boxty-bacon-eggs-tomatoes
Sauerkraut pierogi,Vegetable Oil; Plain Flour; Vegetable Oil; Sour Cream; Egg; Shallots; Shallots; Butter; Sauerkraut; Hispi (sweetheart) Cabbage; Sunflower Oil; Plain Flour,"step 1
First, make the crispy shallots.
 Heat the oil in a saucepan to 180C (a cube of bread will turn golden in 15 secs).
 Toss the shallots in a little flour and deep-fry for 1 min or until light golden and crispy.
 Drain on kitchen paper.
 Can be made up to two days before and kept in an airtight container.


step 2
To make the filling, heat the oil in a medium non-stick frying pan and gently fry the shallots for 10 mins until starting to turn golden.


step 3
Add the sauerkraut and cabbage, and cook for 5-10 mins until the cabbage has softened.
 Taste and add a little salt if under-seasoned, or sugar if stringent.
 Scrape into a bowl and leave to cool completely.


step 4
To make the dough, mix the eggs and oil with 125ml water, then gradually add in the flour, mixing well with your hands.
 Knead it on a well-floured surface until the dough stops sticking to your hands.
 You should end up with firm, elastic dough.
 Wrap it in cling film and rest in the fridge for at least 30 mins, or overnight.


step 5
Flour your work surface generously.
 Roll out the dough to a 40cm circle or until the dough is as thick as £1 coin.


step 6
Using a 9cm cookie cutter, cut out discs in the dough – you should end up with about 25 discs.
 Do not throw away the off-cuts – we throw them in with the pierogi when boiling to minimise any waste.


step 7
Have a well-floured tray ready.
 Put 1 tsp of the filling into the centre of each disc.
 In your hand, fold in half around the filling and seal to create half-moon shapes.
 Put them on the floured tray, making sure they don’t touch each other.


step 8
Bring a large saucepan of salted water to the boil and carefully lower the pierogi in.
 Boil them for 2 mins or until they float to the top.


step 9
Drain and serve with a knob of butter and some soured cream.
 Finish by sprinkling the crispy shallots on top to serve.
",https://www.bbcgoodfood.com/recipes/pierogi
Portuguese barbecued pork (Febras assadas) Recipe,Olive Oil; Pork; Potatoes; Vegetable Oil; White Wine; Paprika; Mayonnaise; Lemon; Lemon Juice,"STEP 1

Cut the tenderloins into 5 equal-size pieces leaving the tail ends a little longer.
 Take a clear plastic bag and slip one of the pieces in.
 Bash it into an escalope the size of a side-plate with a rolling pin and repeat with the remaining pieces.


STEP 2

Put the wine, paprika, some salt and pepper and the juice of ½ a lemon in a bowl and add the pork.
 Leave to marinate for 20-30 minutes, while you get your barbecue to the stage where the coals are glowing but there are no flames.


STEP 3

To make the chips, fill a basin with cool water and cut the potatoes into 3cm-thick chips.
 Soak them in the water for 5 minutes and then change the water.
 Leave for 5 more minutes.
 Drain and then pat dry on a towel or with kitchen paper.


STEP 4

Heat the oil in a deep fryer or a deep heavy-based pan with a lid to 130C and lower the chips into the oil (in batches).
 Blanch for 8-10 minutes.
 Remove from the oil and drain well.
 Place on a tray to cool.
 Reheat the oil to 180C (make sure it’s hot or your chips will be soggy) and lower the basket of chips into the oil (again, do this in batches).
 Leave to cook for 2 minutes and then give them a little shake.
 Cook for another minute or so until they are well coloured and crisp to the touch.
 Drain well for a few minutes, tip into a bowl and sprinkle with sea salt.


STEP 5

The pork will cook quickly so do it in 2 batches.
 Take the pieces out of the marinade, rub them with oil, and drop them onto the barbecue (you could also use a chargrill).
 Cook for 1 minute on each side – they may flare up as you do so.
 This should really be enough time as they will keep on cooking.
 Take them off the barbecue and pile onto a plate.
 Repeat with the remaining batch.


STEP 6

Serve by piling a plate with chips, drop the pork on top of each pile and pouring the juices from the plate over so the chips take up the flavours.
 Top with a spoon of mayonnaise and a wedge of lemon.
",https://www.olivemagazine.com/recipes/meat-and-poultry/febras-assadas-portuguese-barbecued-pork-served-with-lemon-and-mayo-on-chips/
Turkish-style lamb Homemade,Dried Oregano; Lamb Leg; Seasoning; Lemon; Red Onions; Yogurt; Pita Bread; Iceberg Lettuce; Mint,"step 1
Heat grill to high. Season the lamb, then grill for 2 mins on each side until browned, but still very rare. Meanwhile, mix the seasoning, oregano and half of the mint into one of the tubs of yogurt, smother this over the lamb, then return to the grill for another 2-3 mins or until the yogurt is blistered and the meat is cooked to your liking.

step 2
Leave the meat to rest on a board for a few mins while you toast the pittas, shred the lettuce and thinly slice the red onion. Stir the rest of the mint into the second tub of yogurt. Thickly slice the meat and stuff into the pitta bread with the salad and minted yogurt. Squeeze over lemon juice before tucking in, if you like.",https://www.bbcgoodfood.com/recipes/turkish-style-lamb
Easy Paella,Olive Oil; Squid; Chorizo; Raw tiger prawns; Tomato; Parsley; Onion; Paella Rice; Lemon Zest; Broad Beans; Dry sherry; Garlic; Saffron; Mussels,"step 1
Heat 1 tbsp of the oil in a wide, shallow pan.
 Add the prawn heads and parsley stalks and sizzle until the heads turn pink, then mash with a potato masher.
 Pour over the sherry or wine and 300ml water, season with salt and simmer for 10 mins to make a stock, mashing the prawn heads as they cook.


step 2
Scatter the mussels into the pan, cover the pan loosely with a lid or tea towel, then put over a high heat for 3-4 mins until the mussels just open.
 Stir to release the mussel juices, then pour the contents of the pan into a colander set over a large bowl containing the saffron.
 Let the saffron steep in the stock – you will need 700ml in total, so top up with water if needed and give everything a good stir.
 Pick the mussels out from the colander, then set aside.


step 3
Wipe out the pan and add the rest of the olive oil.
 Sizzle the chorizo until it releases its oil, then add the onion and garlic and cook until softened.
 Add the squid and turn over until it turns white.
 Add the tomatoes and cook down for a minute, then pour over most of the stock, give everything a good stir and bring to the boil.
 Scatter the rice over the stock, stir well once, then boil vigorously for 5 mins.
 Reduce the heat to the lowest setting and slowly simmer for 10 mins without stirring until the rice has absorbed most of the liquid.


step 4
Tuck the prawn tails into the rice and simmer for 5 mins, turning them over until cooked through.
 Stir through the mussels and broad beans or peas.
 Taste the rice – if it is still a little raw but the pan is dry, add a splash more stock and continue to cook; if it’s too soupy, then increase the heat to cook off the last of the stock.


step 5
Once the rice is just cooked, turn off the heat and cover with a tea towel for a few minutes.
 Scatter over the parsley leaves and lemon zest, then season with smoked salt if you like.
 Stir everything once, then serve straight from the pan, with lemon wedges on the side.
",https://www.bbcgoodfood.com/recipes/next-level-paella
Fettuccine Alfredo,Black Pepper; Parmesan; Heavy Cream; Butter; Parsley; Fettuccine,"Cook pasta according to package instructions in a large pot of boiling water and salt.
 Add heavy cream and butter to a large skillet over medium heat until the cream bubbles and the butter melts.
 Whisk in parmesan and add seasoning (salt and black pepper).
 Let the sauce thicken slightly and then add the pasta and toss until coated in sauce.
 Garnish with parsley, and it's ready.
",https://www.delish.com/cooking/recipe-ideas/a55312/best-homemade-fettuccine-alfredo-recipe/
Spaghetti alla Carbonara,Pecorino; Salt; Egg Yolks; Bacon; Spaghetti; Black Pepper,"STEP 1
Put a large saucepan of water on to boil.


STEP 2
Finely chop the 100g pancetta, having first removed any rind.
 Finely grate 50g pecorino cheese and 50g parmesan and mix them together.


STEP 3
Beat the 3 large eggs in a medium bowl and season with a little freshly grated black pepper.
 Set everything aside.


STEP 4
Add 1 tsp salt to the boiling water, add 350g spaghetti and when the water comes back to the boil, cook at a constant simmer, covered, for 10 minutes or until al dente (just cooked).


STEP 5
Squash 2 peeled plump garlic cloves with the blade of a knife, just to bruise it.


STEP 6
While the spaghetti is cooking, fry the pancetta with the garlic.
 Drop 50g unsalted butter into a large frying pan or wok and, as soon as the butter has melted, tip in the pancetta and garlic.


STEP 7
Leave to cook on a medium heat for about 5 minutes, stirring often, until the pancetta is golden and crisp.
 The garlic has now imparted its flavour, so take it out with a slotted spoon and discard.


STEP 8
Keep the heat under the pancetta on low.
 When the pasta is ready, lift it from the water with a pasta fork or tongs and put it in the frying pan with the pancetta.
 Don’t worry if a little water drops in the pan as well (you want this to happen) and don’t throw the pasta water away yet.


STEP 9
Mix most of the cheese in with the eggs, keeping a small handful back for sprinkling over later.


STEP 10
Take the pan of spaghetti and pancetta off the heat.
 Now quickly pour in the eggs and cheese.
 Using the tongs or a long fork, lift up the spaghetti so it mixes easily with the egg mixture, which thickens but doesn’t scramble, and everything is coated.


STEP 11
Add extra pasta cooking water to keep it saucy (several tablespoons should do it).
 You don’t want it wet, just moist.
 Season with a little salt, if needed.


STEP 12
Use a long-pronged fork to twist the pasta on to the serving plate or bowl.
 Serve immediately with a little sprinkling of the remaining cheese and a grating of black pepper.
 If the dish does get a little dry before serving, splash in some more hot pasta water and the glossy sauciness will be revived.
",https://www.bbcgoodfood.com/recipes/ultimate-spaghetti-carbonara-recipe
